Description,Total Scottish employment,Total Scottish turnover (£m)
Manufacture of Food Products,"32,240","5,430"
Manufacture of Beverages,"14,240","6,636"
Manufacture of Tobacco Products,,
Manufacture of Textiles,"4,680",477
Manufacture of Wearing Apparel,"1,980"
Manufacture of Leather and Related Products,770
Manufacture of Wood and of Products of Wood and Cork,"7,800","1,591"
Manufacture of Paper and Paper Products,"4,190",863
Printing and Reproduction of Recorded Media,"3,720",352
Manufacture of Coke and Refined Petroleum,"2,270","4,483"
Manufacture of Chemicals and Chemical Products,"5,420","2,105"
Manufacture of Basic Pharmaceutical Products and Pharmaceutical Preparations,"3,970","2,089"
Manufacture of Rubber and Plastic Products,"7,630","1,190"
Manufacture of Other Non-Metallic Mineral Products,"4,920",940
Manufacture of Basic Metals,"2,140",583
Manufacture of Fabricated and Metal Products,"20,600","2,692"
"Manufacture of Computer, Electronic and Optical Products","9,650","2,118"
Manufacture of Electrical Equipment,"3,540",804
Manufacture of Machinery and Equipment Not Elsewhere Classified,"12,230","2,580"
"Manufacture of Motor Vehicles, Trailers and Semi-Trailers","3,320",726
Manufacture of Other Transport Equipment,"11,150","2,499"
Manufacture of Furniture,"2,230",222
Other Manufacturing,"5,170",516
Repair and Installation of Machinery and Equipment,"13,900","3,495"
